title,artist,album,originalGenre,bpm,initialKey,volume,speed,beats,age,vocals,instruments,funk,attitude,weight,pitch,melody,energy,voice,sounds,mood,genre,other,dir
I'm Finally Returning Back Home,Eduard Khil,Eduard Khil,,97,Cm,loud,slow,flowing,old,vocal,orchestra,unusual funky,cute,light,high,melodic,active,male,,positive happy uplifting,atmospheric,timeless,D:\Music\All\Eduard Khil - I'm Finally Returning Back Home (Trololo Song).mp3
War,Edwin Starr,Edwin Starr,,110,Ebm,loud,fast,flowing,classy,vocal,acoustic,funky,cute,light,high,melodic,active,male,balanced,positive happy,atmospheric,,D:\Music\All\Edwin Starr - War.mp3
A Girl Like You,Edwyn Collins,Edwyn Collins,,126,Cm,loud,slow,flowing,old,vocal,guitar,cool,serious,heavy,high,melodic,active,male,balanced,calm,rock,timeless,D:\Music\All\Edwyn Collins - A Girl Like You.mp3
Heaven,Emeli Sande,Emeli Sande,,84,C#m,loud,fast,rhythmic,,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive,dnb,,D:\Music\All\Emeli Sande - Heaven (Nu - Tone).mp3
Unbelievable,Emf,Emf,,104,G#m,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,pop rock,,D:\Music\All\Emf - Unbelievable.mp3
Feel So Real,Dream Frequency,Dream Frequency,,128,Gm,loud,slow,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,trance,timeless,D:\Music\All\Dream Frequency - Feel So Real.mp3
Walking On A Dream,Empire Of The Sun,Empire Of The Sun,,127,Fm,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,pop,,D:\Music\All\Empire Of The Sun - Walking On A Dream.mp3
Cafe Del Mar,Energy 52,Energy 52,,127,Fm,loud,progressive,rhythmic,old,electro,electronic,epic,serious,heavy,high,melodic,passive,ambient,,tense,trance,timeless,D:\Music\All\Energy 52 - Cafe Del Mar (Michael Woods).mp3
Cafe Del Mar,Energy 52,Energy 52,House,131,Bb,loud,slow,flowing,modern,electro,electronic,beautiful,chill,light,high,melodic,active,ambient,soft,calm uplifting,atmospheric,timeless,D:\Music\All\Energy 52 - Cafe Del Mar.mp3
All That Jazz,Dj Fresh,Dj Fresh,,87,Cm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic dance,active,male female,balanced,positive happy uplifting,dnb,,D:\Music\All\Dj Fresh - All That Jazz.mp3
Dios,Dubfire,Dubfire,,126,Eb,loud,progressive,rhythmic,new,electro,electronic,cool,serious,heavy,deep,minimal,active,ambient,strong,tense,house,timeless,D:\Music\All\Dubfire - Dios (Oliver Huntemann).mp3
Principles of Lust,Enigma,Enigma,,190,Cm,loud,slow,flowing,old,electro,,funky,cute,light,high,melodic,active,female,balanced,positive,atmospheric,,D:\Music\All\Enigma - Principles of Lust.mp3
Sadeness,Enigma,Enigma,,190,Am,loud,slow,flowing,old,vocal,electronic,funky,serious,light,high,melodic,,male female chorus,balanced,calm,atmospheric,timeless,D:\Music\All\Enigma - Sadeness.mp3
Moon Rocks,Enrico Sangiuliano,Enrico Sangiuliano,,125,Ebm,loud,progressive,rhythmic,new,electro,electronic,cool,serious,heavy,deep,minimal,active,ambient,strong,calm,house,,D:\Music\All\Enrico Sangiuliano - Moon Rocks.mp3
Escape,Enrique Iglesias,Escape,Latin,126,B,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive uplifting,pop,timeless,D:\Music\All\Enrique Iglesias - Escape.mp3
Callas Went Away,Enigma,Enigma,,194,Em,loud,slow,flowing,old,vocal,electronic,unusual,cute,light,high,melodic,passive,female,balanced,sad,atmospheric,,D:\Music\All\Enigma - Callas Went Away.mp3
Modern Crusaders,Enigma,Enigma,,115,Em,loud,fast,flowing,old,vocal,electronic,epic,serious,light,high,melodic,active,male chorus,balanced,positive,atmospheric,,D:\Music\All\Enigma - Modern Crusaders.mp3
Alive,Empire Of The Sun,Empire Of The Sun,,120,F,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive,pop,,D:\Music\All\Empire Of The Sun - Alive.mp3
Ryksopp,Eple,Eple,,102,Em,loud,progressive,rhythmic,modern,electro,electronic,funky,serious,heavy,high,melodic,active,ambient,strong,calm,house,timeless,D:\Music\All\Eple - Ryksopp.mp3
Always,Erasure,Erasure,,103,Dm,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive uplifting,pop,,D:\Music\All\Erasure - Always.mp3
Matches,Ephixa Stephen Walking,Ephixa Stephen Walking,,73,C#m,loud,slow,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive,house,timeless,D:\Music\All\Ephixa Stephen Walking - Matches (Subtact Aaron Richards).mp3
Pjanoo,Eric Prydz,Eric Prydz,Other,126,Gm,loud,progressive,rhythmic,old,electro,electronic,funky,serious,light,high,dance,active,ambient,balanced,calm,techno,timeless,D:\Music\All\Eric Prydz - Pjanoo.mp3
Slammin,Eric Prydz,Eric Prydz,,127,Bbm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive,house,,D:\Music\All\Eric Prydz - Slammin (Axwell).mp3
Slammin,Eric Prydz,Eric Prydz,,127,Bbm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,house,,D:\Music\All\Eric Prydz - Slammin.mp3
Studio Killers,Eros And Apollo,Eros And Apollo,,121,C,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive uplifting,house,timeless,D:\Music\All\Eros And Apollo - Studio Killers.mp3
Core,Everous,Everous,,80,Em,loud,fast,rhythmic,new,electro,electronic,funky,cute,light,deep,melodic,active,ambient,balanced,positive uplifting,dnb,timeless,D:\Music\All\Everous - Core.mp3
Call on Me,Eric Prydz,Eric Prydz,,126,Ebm,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,high,dance,active,male,balanced,positive uplifting,techno,timeless,D:\Music\All\Eric Prydz - Call on Me.mp3
Insomnia,Faithless,Faithless,,127,Bm,loud,slow,flowing,old,vocal,electronic,cool epic,serious,heavy,deep,melodic,active,male,strong,tense uplifting,atmospheric techno,timeless,D:\Music\All\Faithless - Insomnia.mp3
Jingle Jangle Jingle,Fallout New Vegas,Fallout New Vegas,,94,Gm,quiet,slow,rhythmic,classy,vocal,acoustic,funky,cute,light,high,melodic,active,male,balanced,positive happy uplifting,atmospheric,intrumental,D:\Music\All\Fallout New Vegas - Jingle Jangle Jingle.mp3
Praise You,Fatboy Slim,Fatboy Slim,,121,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy,house,timeless,D:\Music\All\Fatboy Slim - Praise You (Purple Disco Machine).mp3
I Like It,Enrique Iglesias,Enrique Iglesias,,129,Ebm,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy,pop,,D:\Music\All\Enrique Iglesias - I Like It.mp3
Right Here Right Now,Fatboy Slim,Fatboy Slim,,125,Am,loud,progressive,flowing,modern,vocal,electronic,epic,cute,heavy,high,melodic,active,ambient,balanced,positive uplifting,techno,timeless,D:\Music\All\Fatboy Slim - Right Here Right Now.mp3
Slash Dot Dash,Fatboy Slim,Fatboy Slim,,110,Am,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,techno pop,,D:\Music\All\Fatboy Slim - Slash Dot Dash.mp3
Renegade Master,Fatboy Slim,Fatboy Slim,,125,Em,loud,fast,flowing,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy uplifting,techno,timeless,D:\Music\All\Fatboy Slim - Renegade Master.mp3
Ambra,Fd,Fd,,86,Fm,loud,fast,rhythmic,new,electro,electronic,funky,chill,light,high,melodic,active,ambient,balanced,positive,dnb,,D:\Music\All\Fd - Ambra (Calibre).mp3
Let Me Think About It ,Fedde Le Grande,Fedde Le Grande,Other,129,Fm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,male female,balanced,positive,house techno,timeless,D:\Music\All\Fedde Le Grande - Let Me Think About It  (Ida Corr).mp3
Let Me Think About It,Fedde Le Grande,Fedde Le Grande,Other,129,Fm,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male female,,positive,techno pop,,D:\Music\All\Fedde Le Grande - Let Me Think About It (Ida Corr).mp3
Pastels,Feint,Feint,,87,F#m,loud,fast,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive,dnb,,D:\Music\All\Feint - Pastels.mp3
Times Like These,Feint,Feint,,86,Dm,loud,fast,rhythmic,new,vocal,electronic,cool,cute,light,high,melodic,active,female,balanced,positive,dnb,,D:\Music\All\Feint - Times Like These.mp3
Clumsy,Fergie,The Dutchess,Soul and R&B,92,Am,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy uplifting,pop,timeless,D:\Music\All\Fergie - Clumsy.mp3
Juggernauts,Enter Shikari,Enter Shikari,,87,F,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive happy uplifting,dnb,timeless,D:\Music\All\Enter Shikari - Juggernauts (Nero).mp3
Heaven Sent,Ferreck Dawn,Ferreck Dawn,,122,Ebm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\Ferreck Dawn - Heaven Sent (Radio).mp3
In Arms,Ferreck Dawn,Ferreck Dawn,,123,Gm,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,deep,melodic,passive,female,,positive,house,,D:\Music\All\Ferreck Dawn - In Arms (Robosonic).mp3
Fergalicious,Fergie,Fergie,,129,Bbm,loud,slow,flowing,modern,vocal,electronic,funky,cute,light,high,melodic,active,male female,balanced,calm,pop,tofix,D:\Music\All\Fergie - Fergalicious.mp3
Fire,Ferry Corsten,Ferry Corsten,Other,132,Fm,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive happy,house techno,timeless,D:\Music\All\Ferry Corsten - Fire.mp3
Galaxia,Ferry Corsten,Ferry Corsten,,137,Cm,loud,fast,flowing,modern,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,,positive uplifting,techno trance,timeless,D:\Music\All\Ferry Corsten - Galaxia.mp3
I Found U,Fictione,Fictione,,123,G#m,loud,progressive,rhythmic,new,electro,electronic,funky,serious,light,high,melodic,passive,ambient,,calm,techno,,D:\Music\All\Fictione - I Found U.mp3
Come What May,Final Fantasy X,Final Fantasy X,Other,109,Am,loud,slow,flowing,old,vocal,electronic,beautiful,cute,light,high,melodic,active,male,balanced,calm,techno,vika timeless,D:\Music\All\Final Fantasy X - Come What May.mp3
Sometimes The Going Gets A Little Tough,Finn,Finn,,135,Ab,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\Finn - Sometimes The Going Gets A Little Tough.mp3
Emerge (Remix),Fischerspooner,Fischerspooner,,135,Fm,loud,fast,rhythmic,old modern,vocal,electronic,funky,cute,light,,melodic dance,active,male female,,positive happy uplifting,house,,D:\Music\All\Fischerspooner - Emerge (Remix).mp3
Emerge,Fischerspooner,Fischerspooner,,135,Fm,loud,fast,rhythmic,modern,,electronic,funky,cute,light,high,melodic dance,active,male female,balanced,positive happy uplifting,house techno,timeless,D:\Music\All\Fischerspooner - Emerge.mp3
Song For Lindy,Fatboy Slim,Fatboy Slim,,125,G#m,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,techno,timeless,D:\Music\All\Fatboy Slim - Song For Lindy.mp3
Need In Me,Flashmob,Flashmob,,120,Cm,loud,progressive,rhythmic,modern,electro,electronic,funky,chill,heavy,deep,melodic,passive,ambient,balanced,positive,house techno,timeless,D:\Music\All\Flashmob - Need In Me.mp3
On A Sunny Day,Flashtech,Flashtech,,128,Cm,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy,house techno,timeless,D:\Music\All\Flashtech - On A Sunny Day.mp3
Whistle,Flo Rida,Flo Rida,,104,Am,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy,pop,,D:\Music\All\Flo Rida - Whistle.mp3
Say It,Flume,Flume,,75,Gb,loud,slow,rhythmic,new,vocal,electronic,funky,cute naughty,light,high,melodic,active,robo female,balanced,positive,techno,timeless,D:\Music\All\Flume - Say It (Tove Lo Illenium).mp3
Houdini,Foster The People,Foster The People,Other,124,Eb,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,soft,positive happy uplifting,house,timeless,D:\Music\All\Foster The People - Houdini (Green Children).mp3
Pumped Up Kicks,Foster The People,Foster The People,,128,Fm,loud,fast,flowing,new,vocal,guitar,funky,cute,light,high,melodic,passive,male,,positive,pop rock,,D:\Music\All\Foster The People - Pumped Up Kicks.mp3
Adagio,Ferry Corsten,Ferry Corsten,Other,135,Ebm,loud,fast,rhythmic,old,electro,electronic,funky,serious,heavy,high,melodic,active,ambient,balanced,tense,trance,,D:\Music\All\Ferry Corsten - Adagio.mp3
You Are Alive,Fragma,Fragma,,136,Bbm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,trance,,D:\Music\All\Fragma - You Are Alive.mp3
3 Little Words,FrankMusik,FrankMusik,,130,Eb,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,deep,melodic dance,active,male,balanced,positive happy uplifting,house techno,timeless,D:\Music\All\Frank Musik - 3 Little Words (A1 Bassline).mp3
The Whistle Song,Frankie Knuckles,Frankie Knuckles,,121,Am,loud,progressive,rhythmic,old,electro,electronic,funky,cute,light,high,melodic,passive,ambient,,calm,house,,D:\Music\All\Frankie Knuckles - The Whistle Song.mp3
Your Love,Frankie Knuckles,Frankie Knuckles,Other,120,Am,loud,slow,flowing,old,vocal,electronic,funky,serious,light,high,melodic,active,male,balanced,calm,house,timeless,D:\Music\All\Frankie Knuckles - Your Love (Jamie Principle).mp3
Your Love,Frankie Knuckles,Frankie Knuckles,,122,Fm,loud,progressive,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,positive,house,timeless,D:\Music\All\Frankie Knuckles - Your Love.mp3
3 Little Words,Frankmusik,3 Little Words,Remix,130,Eb,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive happy uplifting,techno,music timeless,D:\Music\All\Frankmusik - 3 Little Words (A1 Bassline).mp3
Call Upon Me,Franky Rizardo,Franky Rizardo,,124,Eb,loud,progressive,rhythmic,modern,electro,electronic,funky,cute,light,high,melodic,passive,ambient,,calm,techno,,D:\Music\All\Franky Rizardo - Call Upon Me.mp3
Love On My Mind,Freemasons,Freemasons,,129,Bbm,loud,fast,rhythmic,new,vocal,electronic,funky,neutral,light,high,melodic,active,female,,positive,house,,D:\Music\All\Freemasons - Love On My Mind.mp3
Tocas Miracle,Fragma,Fragma,Other,130,Em,loud,progressive,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,female,soft,positive,techno,timeless,D:\Music\All\Fragma - Tocas Miracle.mp3
Uninvited,Freemasons,Freemasons,,127,Dm,loud,fast,rhythmic,old,vocal,electronic,beautiful funky,cute,light,high,melodic,passive,female,,sad,techno,,D:\Music\All\Freemasons - Uninvited.mp3
Watchin,Freemasons,Freemasons,,128,Dm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,passive,female,,positive,house,,D:\Music\All\Freemasons - Watchin (Amanda Wilson).mp3
Swastika Girls,Fripp Eno,Fripp Eno,,100,C#m,loud,slow,flowing,old,electro,electronic,beautiful,cute,light,high,melodic,passive,ambient,balanced,positive,atmospheric,timeless,D:\Music\All\Fripp Eno - Swastika Girls.mp3
Demon Seed (Spy),Exocet,Exocet,,174,Ebm,loud,fast,rhythmic,new,electro,electronic,cool,serious,heavy,high,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Exocet - Demon Seed (Spy).mp3
Keep On Movin,Five,Five,,135,Em,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy uplifting,pop,,D:\Music\All\Five - Keep On Movin.mp3
Rain Down Love,Freemasons,Freemasons,,122,Dm,loud,slow,rhythmic,new,vocal,electronic,funky,neutral,heavy,high,melodic,passive,female,,tense,house,,D:\Music\All\Freemasons - Rain Down Love (Siedah Garrett D Trax Wallie).mp3
Going Down,Funki Porcini,Funki Porcini,,145,Fm,loud,slow,flowing,old,electro,electronic,beautiful,cute,heavy,high,melodic,passive,ambient,balanced,sad,atmospheric,timeless,D:\Music\All\Funki Porcini - Going Down.mp3
Hyde Park,Funki Porcini,Funki Porcini,,184,Cm,loud,slow,rhythmic,old,electro,electronic,beautiful,cute,light,high,melodic,passive,ambient,balanced,calm,chillout,tofix,D:\Music\All\Funki Porcini - Hyde Park.mp3
Lipps Inc,Funkytown,Funkytown,,122,Cm,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,pop,,D:\Music\All\Funkytown - Lipps Inc.mp3
Freed From Desire,Gala,Gala,,129,Dm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,female,,positive,house,,D:\Music\All\Gala - Freed From Desire.mp3
 U and I,Galantis and Runaway,Galantis and Runaway,,126,Db,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,techno pop,,D:\Music\All\Galantis and Runaway -  U and I.mp3
U and I,Galantis and Runaway,Galantis and Runaway,,126,Db,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,techno pop,,D:\Music\All\Galantis and Runaway - U and I.mp3
Say What,Gary Beck,Gary Beck,,126,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,neutral,light,high,minimal,passive,female,strong,calm,house,,D:\Music\All\Gary Beck - Say What.mp3
We Got The Funk,George Clinton,George Clinton,,106,Em,loud,slow,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,house,,D:\Music\All\George Clinton - We Got The Funk.mp3
The Big Doobie,Gene Farris,Gene Farris,,124,F#m,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\Gene Farris - The Big Doobie.mp3
Got To Find That Girl,Gianni Bini,Gianni Bini,,125,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,high,melodic,passive,male,balanced,calm,house,,D:\Music\All\Gianni Bini - Got To Find That Girl (The Rituals).mp3
Shake Your Booty,Gianni Bini and The Rituals,Gianni Bini and The Rituals,,123,Am,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Gianni Bini and The Rituals - Shake Your Booty.mp3
Bad To The Bone,George Thorogood and The Destroyers,George Thorogood and The Destroyers,,74,Gm,loud,slow,flowing,old,vocal,guitar,cool,serious,light,high,melodic,active,male,,positive happy uplifting,rock,timeless,D:\Music\All\George Thorogood and The Destroyers - Bad To The Bone.mp3
Dj Fresh Lyrics,Gold Dust,Gold Dust,,177,Em,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,strong,positive happy uplifting,dnb,timeless,D:\Music\All\Gold Dust - Dj Fresh Lyrics.mp3
Get Busy Living,Goldfish,Goldfish,,127,Bbm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Goldfish - Get Busy Living (Official).mp3
Take You Higher,Goodwill and Hook N Sling,Goodwill and Hook N Sling,,128,Bbm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,techno pop,,D:\Music\All\Goodwill and Hook N Sling - Take You Higher.mp3
Ooh Aah Just A Little Bit,Gina G,Gina G,,131,Db,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,techno pop,timeless,D:\Music\All\Gina G - Ooh Aah Just A Little Bit.mp3
Rock The House,Gorillaz,Gorillaz,,86,Em,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy uplifting,pop rap,timeless,D:\Music\All\Gorillaz - Rock The House.mp3
Still Believe,Gerd,Gerd,,123,Dm,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male female,balanced,positive happy uplifting,house,timeless,D:\Music\All\Gerd - Still Believe (Marcoradi).mp3
Liquid Spirit,Gregory Porter,Gregory Porter,,121,Em,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,male,,positive happy,house,timeless,D:\Music\All\Gregory Porter - Liquid Spirit (Claptone Remix).mp3
Imagination,Gorgon City,Gorgon City,,122,Cm,loud,progressive,rhythmic,new,vocal,electronic,cool funky,serious,heavy,high,dance,passive,female,,tense,house,timeless,D:\Music\All\Gorgon City - Imagination (Katy Menditta Weiss).mp3
I See You Baby,Groove Armada,Groove Armada,,130,Db,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy uplifting,techno pop,timeless,D:\Music\All\Groove Armada - I See You Baby (Fatboy Slim).mp3
What A Bam,Guille Placencia and George Privatti,Guille Placencia and George Privatti,,122,Em,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\Guille Placencia and George Privatti - What A Bam.mp3
Funkapella,Guti,Guti,,118,Cm,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,high,minimal,passive,female,balanced,calm,house,,D:\Music\All\Guti - Funkapella.mp3
Time,Hans Zimmer,Hans Zimmer,,121,Am,loud,slow,flowing,new,instrumental,electronic,epic,serious,heavy,high,melodic,passive,ambient,balanced,calm uplifting,atmospheric,timeless,D:\Music\All\Hans Zimmer - Time.mp3
Mmmbop,Hanson,Hanson,,105,A,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy,pop,,D:\Music\All\Hanson - Mmmbop.mp3
Genesis,Grimes,Grimes,,83,Gb,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,techno pop,timeless,D:\Music\All\Grimes - Genesis.mp3
August,Hazem Beltagui,Hazem Beltagui,,126,G,loud,progressive,rhythmic,new,electro,electronic,beautiful,cute,light,deep,melodic,passive,robo,balanced,positive,house,timeless,D:\Music\All\Hazem Beltagui - August.mp3
She Came,Hazem Beltagui,Hazem Beltagui,,126,Dm,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,passive,ambient,,calm,techno,,D:\Music\All\Hazem Beltagui - She Came.mp3
Thinking About Her,Hazem Beltagui,Hazem Beltagui,,128,Fm,loud,progressive,rhythmic,new,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,,calm,techno,,D:\Music\All\Hazem Beltagui - Thinking About Her.mp3
Slumber Party,Hellberg,Hellberg,,128,Db,loud,fast,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,robo,balanced,positive happy uplifting,techno,timeless,D:\Music\All\Hellberg - Slumber Party.mp3
I Just Can't Get Enough (Abigail Bailey Freemasons) - 08,Herd and Fitz,Herd and Fitz,,128,F#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,house,,D:\Music\All\Herd and Fitz - I Just Can't Get Enough (Abigail Bailey Freemasons) - 08.mp3
The Agony And The Ecstasy,High Contrast,High Contrast,,87,Am,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,calm,dnb,,D:\Music\All\High Contrast - The Agony And The Ecstasy (Selah Corbin).mp3
Jupiter,Holst,Holst,,137,Gm,loud,fast,flowing,classical,instrumental,orchestra,beautiful,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,atmospheric,,D:\Music\All\Holst - Jupiter.mp3
I Believe ,Happy Clappers,Happy Clappers,,125,Dm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Happy Clappers - I Believe  (12 Master).mp3
Playin With My Mind,House Of Glass,House Of Glass,,125,C#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive,house,timeless,D:\Music\All\House Of Glass - Playin With My Mind (Bini Martini).mp3
I Want A New Drug,Huey Lewis and The News,Huey Lewis and The News,,110,Am,loud,slow,flowing,old,vocal,guitar,funky,cute,light,high,melodic,active,male,,positive,rock,,D:\Music\All\Huey Lewis and The News - I Want A New Drug.mp3
Rapture,Iio,Iio,,125,Bbm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,passive,female,,positive,house,timeless,D:\Music\All\Iio - Rapture.mp3
Radioactive,Imagine Dragons,Imagine Dragons,,137,A,loud,slow,flowing,new,vocal,electronic,epic,serious,heavy,high,melodic,active,male,balanced,tense,atmospheric pop,timeless,D:\Music\All\Imagine Dragons - Radioactive.mp3
Let The Rain Come Down,Intense,Intense,,121,Dm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,passive,male,,positive happy,house,timeless,D:\Music\All\Intense - Let The Rain Come Down.mp3
Insignificance,Intrinity,Intrinity,,128,Bb,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,positive,techno,,D:\Music\All\Intrinity - Insignificance.mp3
Mark Petrie Vol. 2,Hour Epic Music,Hour Epic Music,,,Ebm,loud,slow,flowing,new,vocal,electronic,epic,serious,light,high,melodic,active,chorus,balanced,positive uplifting,atmospheric,,D:\Music\All\Hour Epic Music - Mark Petrie Vol. 2.mp3
Rubber Band,Jackal Queenston,Jackal Queenston,,88,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,heavy,high,dance,active,robo,strong,positive happy uplifting,dnb,timeless,D:\Music\All\Jackal Queenston - Rubber Band.mp3
Sensation,Jacky,Jacky,,124,Am,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,deep,melodic,passive,female,balanced,calm,house,,D:\Music\All\Jacky - Sensation (Amelia Sear).mp3
One Fine Day,Jakata,Jakata,Blues,125,Em,loud,progressive,rhythmic,modern,vocal,electronic,beautiful,cute,light,high,melodic,active,female,soft,positive uplifting,house techno,timeless,D:\Music\All\Jakata - One Fine Day (Cicada).mp3
Superstar,Jamelia,Jamelia,,110,Ebm,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,pop,,D:\Music\All\Jamelia - Superstar.mp3
Get On Up,James Brown,James Brown,,109,Ebm,loud,slow,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,house,,D:\Music\All\James Brown - Get On Up.mp3
Cloud 9,Jamiroquai,Jamiroquai,,123,Am,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,passive,male,,positive,house,timeless,D:\Music\All\Jamiroquai - Cloud 9 (Purple Disco Machine).mp3
Deeper Underground,Jamiroquai,Jamiroquai,,104,F#m,loud,slow,flowing,old,vocal,electronic,cool,cute,light,high,melodic,active,male,,calm,pop,,D:\Music\All\Jamiroquai - Deeper Underground.mp3
Somebody That I Used To Know,Gotye,Gotye,,129,C,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,,passive,male female,,sad,pop,dramatic,D:\Music\All\Gotye - Somebody That I Used To Know (Kimbra).mp3
Groove Nova,Jaytech,Jaytech,Blues,128,G#m,loud,progressive,rhythmic,modern,electro,electronic,cool,cute,heavy,high,dance,active,female,,tense,techno,,D:\Music\All\Jaytech - Groove Nova.mp3
