title,artist,album,originalGenre,bpm,initialKey,volume,speed,beats,age,vocals,instruments,funk,attitude,weight,pitch,melody,energy,voice,sounds,mood,genre,other,dir
At The End Of The Day,Amon Tobin,Amon Tobin,,82,Ebm,loud,slow,flowing,old,electro,electronic,unusual beautiful,chill,heavy,high,melodic,passive,ambient,,tense,atmospheric,timeless,D:\Music\All\Amon Tobin - At The End Of The Day.mp3
1977,Ana Tijoux,Ana Tijoux,,104,Dm,loud,fast,flowing,modern,vocal,electronic,unusual funky,cute,light,high,melodic,active,female,,positive,rap,timeless,D:\Music\All\Ana Tijoux - 1977.mp3
Feelin This,Aaaron,Aaaron,,122,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,deep,melodic,active,male,balanced,positive,house,,D:\Music\All\Aaaron - Feelin This.mp3
Bliss,Alpha 9,Alpha 9,,128,Cm,loud,progressive,rhythmic,new,vocal,electronic,beautiful,cute,light,high,melodic,passive,female,,calm,techno,,D:\Music\All\Alpha 9 - Bliss.mp3
You,Andrew Bayer,Andrew Bayer,,125,Ebm,loud,progressive,rhythmic,new,vocal,electronic,beautiful,cute,light,high,melodic,active,female,gentle,calm uplifting,house techno,timeless,D:\Music\All\Andrew Bayer - You.mp3
Positive Humour,Angelo Ferreri,Angelo Ferreri,,122,Gm,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,high,minimal,passive,female,balanced,positive,house,,D:\Music\All\Angelo Ferreri - Positive Humour.mp3
Two Times,Ann Lee,Ann Lee,,130,F,loud,progressive,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,techno pop,timeless,D:\Music\All\Ann Lee - Two Times.mp3
Live Is Life Is Love,Anthony Rother,Anthony Rother,,135,Dm,loud,fast,rhythmic,old,electro,electronic,funky,serious,heavy,high,melodic,active,ambient,soft,tense,techno,,D:\Music\All\Anthony Rother - Live Is Life Is Love.mp3
This Day,Antony Pl,Antony Pl,,125,Em,loud,progressive,rhythmic,new,vocal,electronic,cool,neutral,heavy,deep,minimal,passive,male,balanced,calm,house,,D:\Music\All\Antony Pl - This Day.mp3
Come To Daddy,Aphex Twin,Aphex Twin,,81,Fm,loud,slow,flowing,modern,vocal,electronic,unusual,serious,heavy,high,melodic,active,male,,tense,techno,timeless,D:\Music\All\Aphex Twin - Come To Daddy.mp3
Fuel To Fire,Agnes Obel,Agnes Obel,,87,Dm,loud,fast,rhythmic,new,vocal,electronic,beautiful,cute,light,high,melodic,passive active,female,balanced,calm,dnb,,D:\Music\All\Agnes Obel - Fuel To Fire (Dexcell).mp3
Xtal,Aphex Twin,Aphex Twin,,115,Ebm,loud,slow,rhythmic,old,vocal,electronic,beautiful,cute,light,high,melodic,passive,female,gentle,calm uplifting,chillout,timeless,D:\Music\All\Aphex Twin - Xtal.mp3
i,Aphex Twin,Aphex Twin,Other,100,D,loud,slow,flowing,old,electro,electronic,unusual,cute,light,high,melodic,passive,ambient,gentle,sad,atmospheric,,D:\Music\All\Aphex Twin - i.mp3
Decomposing,Andrea Oliva,Andrea Oliva,,123,Fm,loud,progressive,rhythmic,new,electro,electronic,funky,chill,light,deep,melodic,passive,ambient,balanced,calm,house,timeless,D:\Music\All\Andrea Oliva - Decomposing.mp3
Twin Peaks Theme,Angelo Badalamenti,Angelo Badalamenti,Other,155,Gm,loud,slow,flowing,old,electro,electronic,beautiful,cute,light,high,melodic,passive,ambient,gentle,sad,atmospheric,timeless,D:\Music\All\Angelo Badalamenti - Twin Peaks Theme.mp3
Doctor Jones,Aqua,Aqua,,70,Ebm,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,male female,,positive happy,techno pop,timeless,D:\Music\All\Aqua - Doctor Jones.mp3
Elevate,Arcien,Arcien,,87,G,loud,fast,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,balanced,positive happy uplifting,dnb,timeless,D:\Music\All\Arcien - Elevate.mp3
Respect,Aretha Franklin,Aretha Franklin,Other,143,Cm,loud,fast,flowing,classy,vocal,acoustic,funky,cute,light,high,melodic,active,female,balanced,positive happy,pop,tofix,D:\Music\All\Aretha Franklin - Respect.mp3
Hear My Name,Armand Van Helden,Armand Van Helden,,131,B,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Armand Van Helden - Hear My Name.mp3
I Want Your Soul,Armand Van Helden,Armand Van Helden,,128,Bbm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy uplifting,house,timeless,D:\Music\All\Armand Van Helden - I Want Your Soul.mp3
Another You,Armin Van Buuren,Armin Van Buuren,,128,Bm,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive uplifting,techno pop,,D:\Music\All\Armin Van Buuren - Another You (Mr. Probz Headhunterz).mp3
Handmade Soul,Arthur Deep,Arthur Deep,,138,Ebm,loud,progressive,flowing,new,vocal,electronic,beautiful,cute,light,high,melodic,active,robo,soft,positive uplifting,atmospheric,timeless,D:\Music\All\Arthur Deep - Handmade Soul.mp3
Legendary Ship Battle,Assassin Creed,Assassin Creed,,80,Em,loud,slow,rhythmic,new,instrumental,electronic,cool epic,serious,heavy,deep,melodic,active,ambient,strong,tense,atmospheric,intrumental,D:\Music\All\Assassin Creed - Legendary Ship Battle (Black Flag Theme 1).mp3
The Parting Glass,Assassin Creed,Assassin Creed,,80,Bm,quiet,slow,flowing,new,vocal,acoustic,beautiful epic,cute,light,high,melodic,passive,female,gentle,sad,atmospheric,timeless intrumental,D:\Music\All\Assassin Creed -The Parting Glass (Black Flag Ending).mp3
Beautiful Worlds,Atb,Atb,,135,F#m,loud,fast,rhythmic,old,electro,electronic,epic,chill,light,high,dance,active,ambient,,calm,trance,timeless,D:\Music\All\Atb - Beautiful Worlds.mp3
Dont Stop,Atb,Atb,,134,Bb,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,calm,trance,,D:\Music\All\Atb - Dont Stop.mp3
Another You,Armin Van Buuren,Armin Van Buuren,,128,Bm,loud,fast,flowing,new,vocal,electronic,funky,serious,light,high,melodic,active,male,balanced,positive uplifting,techno pop,music,D:\Music\All\Armin Van Buuren - Another You (Mr Probz Headhunterz).mp3
All Around The World,Atc,Atc,,132,Am,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,female,,calm,techno pop,,D:\Music\All\Atc - All Around The World.mp3
Ecstasy,Atb,Atb,,130,G#m,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,dance,active,female,,calm,trance,timeless,D:\Music\All\Atb - Ecstasy.mp3
Spread Love,Atfc,Atfc,,127,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive,house,timeless,D:\Music\All\Atfc - Spread Love.mp3
Facts,Audiowhores,Audiowhores,,123,Bbm,loud,progressive,rhythmic,new,vocal,electronic,cool,serious,heavy,deep,dance,active,male,,positive,techno pop,,D:\Music\All\Audiowhores - Facts (Stee Downes).mp3
Second Bad Vibel,Autechre,Autechre,,120,Am,loud,slow,flowing,old,electro,electronic,unusual,serious,heavy,high,minimal,active,industrial,,tense,atmospheric,tofix rough timeless,D:\Music\All\Autechre - Second Bad Vibel (Chris Cunningham).mp3
Extreme Engineering,Astralas,Astralas,,177,Cm,loud,fast,rhythmic,old,electro,electronic,cool,serious,heavy,deep,minimal,active,industrial,strong,tense,dnb,tofix timeless,D:\Music\All\Astralas - Extreme Engineering (2007).mp3
Levels,Avicii,Avicii,,126,E,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive happy uplifting,techno pop,,D:\Music\All\Avicii - Levels.mp3
I'm With You,Avril Lavigne,Avril Lavigne,,152,A,loud,slow,flowing,old,vocal,acoustic,beautiful,cute,light,high,melodic,passive,female,soft,sad,pop,music timeless,D:\Music\All\Avril Lavigne - I'm With You.mp3
Smile,Avril Lavigne,Avril Lavigne,,105,A,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,sad,pop rock,,D:\Music\All\Avril Lavigne - Smile.mp3
Girlfriend,Avril Lavigne,Avril Lavigne,,82,Bm,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy,pop rock,,D:\Music\All\Avril Lavigne - Girlfriend.mp3
Feel The Vibe,Axwell,Axwell,,128,Em,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,positive,techno pop,,D:\Music\All\Axwell - Feel The Vibe.mp3
Cest La Vie,B Witched,B Witched,,109,Am,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy,pop,,D:\Music\All\B Witched - Cest La Vie.mp3
What The Hell,Avril Lavigne,Goodbye Lullaby,Pop,75,F#m,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive happy,pop rock,,D:\Music\All\Avril Lavigne - What The Hell.mp3
Let Me Be Your Fantasy,Baby D,Baby D,,87,Em,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,balanced,positive happy uplifting,dnb,,D:\Music\All\Baby D - Let Me Be Your Fantasy (J Majik Wickaman).mp3
Let Me Be Your Fantasy,Baby D,Baby D,,135,Em,loud,progressive,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,positive,techno pop,,D:\Music\All\Baby D - Let Me Be Your Fantasy.mp3
Joan Jett,Bad Reputation,Bad Reputation,,103,G#m,loud,fast,flowing,old,vocal,guitar,funky,cute,light,high,melodic,active,female,,positive happy,rock,,D:\Music\All\Bad Reputation - Joan Jett.mp3
Beautiful People,Barbara Tucker,Barbara Tucker,,125,Em,loud,fast,rhythmic,old,vocal,electronic,funky,cute,light,high,melodic,passive,female,,positive,house,,D:\Music\All\Barbara Tucker - Beautiful People.mp3
Refuge,Bad Company,Bad Company,,88,Ebm,loud,fast,rhythmic,old,electro,electronic,cool,serious,heavy,deep,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Bad Company - Refuge.mp3
Glory,Bastille,Bastille,,124,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,neutral,light,high,melodic,passive,male,balanced,calm,house,tofix,D:\Music\All\Bastille - Glory (Franky Rizardo).mp3
Drunk On Love,Basia,Basia,,122,C#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,house,timeless,D:\Music\All\Basia - Drunk On Love (Rogers).mp3
7 Days And One Week,Bbe,Bbe,,138,Bbm,loud,fast,rhythmic,old,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,trance,,D:\Music\All\Bbe - 7 Days And One Week.mp3
Is Anybody Out There,Bcee S.p.y,Bcee S.p.y,,86,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,positive happy uplifting,dnb,,D:\Music\All\Bcee S.p.y - Is Anybody Out There.mp3
Dub Be Good To Me,Beats International,Beats International,,96,Cm,loud,slow,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male female,,calm,pop,,D:\Music\All\Beats International - Dub Be Good To Me.mp3
Loser,Beck,Beck,,85,Bm,loud,slow,flowing,old,vocal,guitar,cool epic,cute,light,high,melodic,active,male,,positive happy uplifting,rock,timeless,D:\Music\All\Beck - Loser.mp3
Little Scare,Benjamin Diamond,Benjamin Diamond,Other,130,Db,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,male,balanced,calm,pop,timeless,D:\Music\All\Benjamin Diamond - Little Scare.mp3
Is Anybody Out There,Bcee and Spy,Bcee and Spy,,86,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,male,,positive happy uplifting,dnb,timeless,D:\Music\All\Bcee and Spy - Is Anybody Out There.mp3
White Wedding,Billy Idol,Billy Idol,,73,Bm,loud,fast,flowing,old,vocal,guitar,funky,cute,light,high,melodic,active,male,,positive happy uplifting,rock,timeless,D:\Music\All\Billy Idol - White Wedding.mp3
Don't Phunk With My Heart,Black Eyed Peas,Monkey Business,R&B / Hip Hop,131,,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male female,balanced,positive,pop,,D:\Music\All\Black Eyed Peas - Don't Phunk With My Heart.mp3
The Boogie That Be,Black Eyed Peas,Elephunk,Hip Hop Rap,105,,loud,slow,rhythmic,modern,vocal,electronic,funky,cute,heavy,high,dance,active,male,balanced,positive happy uplifting,techno pop,timeless,D:\Music\All\Black Eyed Peas - The Boogie That Be.mp3
Frost,Bert H High,Bert H High,,88,Eb,loud,fast,rhythmic,new,electro,electronic,beautiful,chill,light,high,melodic,active,ambient,balanced,calm uplifting,dnb,,D:\Music\All\Bert H High - Frost (Sick Monrroe).mp3
Descent,Black Sun Empire,Black Sun Empire,,86,F#m,loud,fast,rhythmic,old,electro,electronic,cool,neutral,heavy,deep,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Black Sun Empire - Descent.mp3
Drizzle,Black Sun Empire,Black Sun Empire,,87,Gm,loud,fast,rhythmic,old,vocal,electronic,cool,neutral,heavy,high,minimal,active,industrial,strong,tense,dnb,,D:\Music\All\Black Sun Empire - Drizzle.mp3
Eraser,Black Sun Empire,Black Sun Empire,,87,Cm,loud,fast,rhythmic,old,vocal,electronic,cool,neutral,heavy,deep,minimal,active,male,strong,tense,dnb,,D:\Music\All\Black Sun Empire - Eraser.mp3
Diamond Beach,Blend and Mh20,Blend and Mh20,,128,G#m,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,techno,,D:\Music\All\Blend and Mh20 - Diamond Beach.mp3
Maria,Blondie,Blondie,Other,159,A,loud,fast,flowing,old,vocal,guitar,beautiful,cute,light,high,melodic,active,male,soft,positive,pop,timeless,D:\Music\All\Blondie - Maria.mp3
Lift,Blood Groove and Kikis,Blood Groove and Kikis,,126,Eb,loud,progressive,rhythmic,new,electro,electronic,funky,cute,light,high,melodic,active,ambient,,calm,techno,,D:\Music\All\Blood Groove and Kikis - Lift.mp3
Wanna Feel It,Black Loops,Black Loops,,126,Em,loud,progressive,rhythmic,new,vocal,electronic,funky,chill,light,high,minimal,passive,female,balanced,calm,house,,D:\Music\All\Black Loops - Wanna Feel It (Innocent Souls).mp3
Dayvan Cowboy,Boards Of Canada,Boards Of Canada,,168,B,loud,slow,flowing,modern,electro,electronic,beautiful,cute,light,high,melodic,active,ambient,gentle,calm uplifting,atmospheric,favorite timeless,D:\Music\All\Boards Of Canada - Dayvan Cowboy.mp3
Airplanes,Bob,Bob,,93,F#m,loud,slow,flowing,new,vocal,electronic,funky,cute,light,high,melodic,active,male female,,positive,pop,timeless,D:\Music\All\Bob - Airplanes (Hayley Williams).mp3
Love Generation,Bob Sinclar,Bob Sinclar,,128,C#m,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,pop,,D:\Music\All\Bob Sinclar - Love Generation.mp3
Thinkin'about Your Body,Bobby Ferrin,Spontaneous Inventions,Inconnu,98,Fm,loud,slow,flowing,old,vocal,,unusual funky,cute,light,high,melodic,active,male,,positive,atmospheric,voice weird timeless,D:\Music\All\Bobby Ferrin - Thinkin'about Your Body.mp3
Cest Moi,Bontan,Bontan,,124,G#m,loud,progressive,rhythmic,new,vocal,electronic,funky,neutral,heavy,deep,minimal,active,female,strong,tense,house,,D:\Music\All\Bontan - Cest Moi.mp3
Something,Boris Way,Boris Way,,126,Dm,loud,fast,flowing,new,vocal,electronic,cool,cute,light,high,melodic,active,female,,calm,techno pop,,D:\Music\All\Boris Way - Something (Kimberly Cole).mp3
What Are You Prepared To Sacrifice,Borislav Slavov,Borislav Slavov,,100,Ebm,loud,slow,flowing,new,electro,electronic,epic,serious,heavy,high,melodic,active,ambient,strong,sad uplifting,atmospheric,timeless intrumental,D:\Music\All\Borislav Slavov - What Are You Prepared To Sacrifice (Tilman Silcescu Crysis).mp3
Borderline,Brad Sucks,Brad Sucks,,80,Am,loud,slow,flowing,new,vocal,guitar,funky,cute,light,high,melodic,active,male,,calm,rock,timeless,D:\Music\All\Brad Sucks - Borderline.mp3
Never Come Down,Brave Shores,Brave Shores,,70,D,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,,D:\Music\All\Brave Shores - Never Come Down.mp3
The Corrs,Breathless,Breathless,,127,E,loud,fast,flowing,old,vocal,electronic,beautiful,cute,light,high,melodic,active,female,soft,positive happy,pop,timeless,D:\Music\All\Breathless - The Corrs.mp3
Stars,Brian Eno,Brian Eno,Other,100,A,loud,slow,flowing,old,electro,electronic,unusual,neutral,heavy,high,melodic,passive,ambient,gentle,sad,atmospheric,,D:\Music\All\Brian Eno - Stars.mp3
Lay Aboard Lads,Brian Tyler,Brian Tyler,,112,Gm,loud,fast,rhythmic,new,instrumental,electronic,epic,serious,light,high,melodic,active,ambient,balanced,positive happy uplifting,atmospheric,timeless intrumental,D:\Music\All\Brian Tyler - Lay Aboard Lads (Assassin Creed Black Flag Extended).mp3
Lay Aboard Lads,Brian Tyler,Brian Tyler,,112,Gm,loud,fast,flowing,new,instrumental,orchestra,epic,serious,heavy,high,melodic,active,ambient,,tense,atmospheric,timeless,D:\Music\All\Brian Tyler - Lay Aboard Lads.mp3
Pompeii,Bastille,Bastille,,128,F#m,loud,fast,flowing,new,vocal,electronic,funky,cute,light,high,melodic,passive,male,,calm,pop,,D:\Music\All\Bastille - Pompeii.mp3
Perfume,Britney Spears,Britney Spears,,80,Eb,loud,slow,flowing,old,vocal,electronic,beautiful,cute,light,high,melodic,passive,female,,calm,pop,,D:\Music\All\Britney Spears - Perfume.mp3
Till The World Ends,Britney Spears,Britney Spears,,132,Ab,loud,fast,flowing,old,vocal,electronic,funky,cute,light,high,melodic,active,female,,positive,pop,,D:\Music\All\Britney Spears - Till The World Ends.mp3
Everybody Needs Somebody,Blues Brothers,Blues Brothers,,97,Gm,loud,fast,rhythmic,classy,vocal,acoustic,funky,cute,light,high,melodic dance,active,male,balanced,positive happy uplifting,atmospheric pop,timeless intrumental,D:\Music\All\Blues Brothers - Everybody Needs Somebody.mp3
Happiness,Brooklyn Poor,Brooklyn Poor,,131,Cm,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,,D:\Music\All\Brooklyn Poor - Happiness (Needy Free Cheese).mp3
Born In The USA,Bruce Springsteen,Bruce Springsteen,,120,B,loud,fast,flowing,old,vocal,guitar,beautiful epic,cute,light,high,melodic,active,male,,positive happy uplifting,rock,,D:\Music\All\Bruce Springsteen - Born In The USA.mp3
Smalltown Boy,Bronski Beat,Bronski Beat,,134,Fm,loud,fast,rhythmic,old,vocal,electronic,funky,chill,heavy,high,melodic,active,female,,calm,trance,timeless,D:\Music\All\Bronski Beat - Smalltown Boy.mp3
Front to Back,Buku,Buku,,170,F#m,loud,slow,rhythmic,new,vocal,electronic,cool epic,serious,heavy,high,minimal,active,female,strong,tense,atmospheric techno,timeless,D:\Music\All\Buku - Front to Back.mp3
I Found Love,C C Music Factory,C C Music Factory,,126,G#m,loud,fast,rhythmic,new,vocal,electronic,funky,cute,light,high,dance,active,female,,positive happy,house,timeless,D:\Music\All\C C Music Factory - I Found Love (Loveland).mp3
Star To Fall,Cabin Crew,Cabin Crew,Other,127,Eb,loud,fast,rhythmic,modern,vocal,electronic,funky,cute,light,high,melodic dance,active,male,balanced,positive,techno pop,timeless,D:\Music\All\Cabin Crew - Star To Fall.mp3
The Way It Is,Cabriolet Paris,Cabriolet Paris,,120,Em,loud,progressive,rhythmic,new,vocal,electronic,funky,cute,light,high,melodic,active,male,,positive,techno,,D:\Music\All\Cabriolet Paris - The Way It Is.mp3
Acceptable In The 80s,Calvin Harris,Acceptable in the 80s,Electronic,128,Em,loud,fast,flowing,old,vocal,electronic,funky,cute,heavy,high,melodic,passive,male,balanced,calm,techno pop,,D:\Music\All\Calvin Harris - Acceptable In The 80s.mp3
