Rating, love, favorite, maybe, crap, unknown
Genre, house, dnb, techno, trance, ambient, pop, rock, hiphop, classical, jazz, latin, experimental, other, metal, blues
Subgenre, progressive-house, idm, industrial, electro, soul-rnb, rap, remix, noise, newage, classic
Other, new, fully tagged
Pace, slow, mid, fast
Energy, low, medium, high, peak
Groove, tight, driving, flowing, bouncy, funky, club, loose, cute, beautiful, naughty, weird, rough, epic
Melody, strong, melodic, minimal, atmospheric, chaotic
Structure, loop-heavy, balanced, varied, progressive, static
Mood, positive, uplifting, calm, sad, tense, dark, dreamy, serious
Time, classy, oldschool, modern, timeless
Texture, soft, balanced, strong, heavy, industrial, ambient, electronic, acoustic, smooth
Vocal, instrumental, male, female, mixed, chorus, robotic, chopped, spoken, sampled, ambient-voice
Flags, tofix, long, bpm-missing, bpm-suspicious, quantica, other, vika, ubaby, unique, travel
